DOMAIN	Common_Name	ch6_Ness_ID	mtMinus_Ness_ID
C	161193		
C	112569	26893507	
C	196063	26893097	
C	196073	26893528	
C	294742	26894611	
C	294752	26893271	
C	344092	26894024	
C	522914	26894697	
C	522915	26893146	
C	522917		
C	522918	26893775	
C	522919	26893018	
C	522922	26893556	
C	CGLD28	26893675	
C	MAT3	26893469	
C	FBX9	26894174	
C	FUM1	26893186	
C	MT0828	26893348	ADF43199.1
C	MT0829	26893448	
C	SAD1	26894287	
C	THI10	26893692	
R	155027	None    ADF43182.1
R	522872	26894082	ADF43192.1
R	522875	26894494	ADF43175.1
R	CGL70	26893660	ADF43178.1
R	DLA3	26894462	ADF43191.1
R	MID		ADF43190.1
R	DRG1	26893070	ADF43180.1
R	GCSH	26893232	ADF43186.1
R	HRGP1	26893033	ADF43196.1
R	LEU1S	26893073	ADF43194.1
R	MTD1		ADF43193.1
R	LPS1	26893261	ADF43176.1
R	MADS2	26893651	ADF43188.1
R	MT0618	26893603	ADF43183.1
R	MT0796	26893219	ADF43198.1
R	NMDA1	26894262	ADF43179.1
R	OTU2	26893063	ADF43181.1
R	PDK1	26893429	ADF43177.1
R	PKY1	26894226	ADF43189.1
R	PR46a	26893800	ADF43185.1
R	PR46b	26893059	ADF43184.1
R	SPL2	26894294	ADF43195.1
R	UBCH1	26893524	ADF43187.1
R	UTP1	26893801	ADF43197.1
T	97782	26894333	ADF43165.1
T	182389	26893178	ADF43171.1
T	182390	26893973	ADF43170.1
T	182392	26894285	ADF43167.1
T	182394	26893557	ADF43164.1
T	294687	26894098	ADF43172.1
T	ALB3	26894643	ADF43168.1
T	EIF5Bb	26894689	ADF43162.1
T	HDH1	26893370	ADF43173.1
T	NIC7	26894744	ADF43159.1
T	PSF2	26893622	ADF43169.1
T	PTC1	26893647	ADF43163.1
T	RFC4	26893360	ADF43166.1
T	SPP3	26893872	ADF43161.1
T	SPS1	26893181	ADF43160.1
T	TOC34	26894095	ADF43174.1
C	Cre06.g255150	26894071	
C	Cre06.g255250	26893900	
