MADS2	g2067.t1	83.913	230	35	1	6	233	10	239	6.82e-81	272
SPP3	g8367.t1	49.821	558	227	11	12	542	21	552	1.50e-120	379
DRG1	g2099.t1	98.876	356	4	0	1	356	14	369	0.0	729
SPS1	g2115.t1	93.651	315	20	0	1	315	1	315	0.0	618
RFC4	g2089.t1	95.495	333	15	0	1	333	1	333	0.0	622
PTC1	g2119.t1	92.318	716	35	6	1	699	1	713	0.0	1315
ADF43182.1	g2071.t1	80.220	91	15	2	27	115	82	171	5.46e-35	130
522872	g2087.t1	75.644	427	81	6	2	414	8	425	0.0	576
EIF5Bb	g2116.t1	91.667	456	37	1	1	455	1	456	0.0	665
PDK1	g9858.t1	86.448	487	62	3	27	512	31	514	0.0	791
97782	g16575.t1	86.829	205	26	1	1	205	1	204	1.08e-123	352
182394	g2120.t1	84.127	252	38	2	39	290	1	250	4.54e-144	409
HRGP1	g2072.t1	87.397	484	61	0	14	497	57	540	0.0	660
LEU1S	g2100.t1	95.349	215	10	0	1	215	1	215	2.66e-152	425
PR46b	g2070.t1	90.050	201	18	1	1	201	1	199	4.90e-121	349
MTD1	g2109.t1	75.694	144	29	2	420	563	1	138	1.99e-67	218
LPS1	g7582.t1	37.752	596	244	9	210	679	685	1279	2.48e-115	392
ALB3	g2091.t1	84.802	454	64	4	33	482	32	484	0.0	649
NMDA1	g2098.t1	89.960	249	25	0	1	249	1	249	1.82e-149	421
MT0618	g2071.t1	86.765	68	9	0	114	181	1	68	2.94e-31	122
CGL70	g2085.t1	83.636	385	43	3	86	450	1	385	0.0	613
GCSH	g2069.t1	94.375	160	9	0	1	160	1	160	7.00e-108	308
NIC7	g2114.t1	92.432	621	46	1	58	677	134	754	0.0	1132
UTP1	g2073.t1	93.142	904	48	3	67	970	1	890	0.0	1533
294687	g2095.t1	64.862	2456	697	41	1	2373	1	2373	0.0	2064
SPL2	g2086.t1	99.083	218	2	0	1	218	1	218	9.96e-137	392
522875	g2104.t1	73.050	423	101	8	1	414	1	419	1.50e-164	473
HDH1	g2096.t1	80.678	295	55	2	24	317	24	317	1.79e-161	457
182392	g2090.t1	82.353	68	12	0	73	140	1	68	2.70e-31	109
DLA3	g2088.t1	81.379	580	98	4	70	640	1	579	0.0	831
PKY1	g2066.t1	71.803	2252	520	40	52	2245	572	2766	0.0	2333
182390	g2093.t1	95.105	143	7	0	48	190	1	143	3.60e-93	278
OTU2	g2071.t1	88.644	317	28	4	1	314	980	1291	1.57e-179	535
TOC34	g2097.t1	86.500	400	48	2	1	398	1	396	0.0	670
UBCH1	g2068.t1	93.072	332	22	1	1	332	1	331	0.0	627
PSF2	g2092.t1	93.596	406	20	3	1	405	2	402	0.0	777
MAT3	g2057.t1	80.571	1225	200	17	1	1210	1	1202	0.0	1743
FUM1	g2076.t1	96.271	590	22	0	1	590	1	590	0.0	1177
522914	g2078.t1	57.870	864	279	24	87	914	1	815	6.74e-137	432
344092	g2060.t1	86.842	912	102	4	1	912	1	894	0.0	1082
522922	g2084.t1	80.999	1442	191	16	1	1375	1	1426	0.0	1702
Cre06.g255250	g2063.t1	82.230	287	43	3	69	349	70	354	1.31e-124	366
294742	g2079.t1	77.204	794	130	7	223	1000	53	811	0.0	941
196073	g2083.t1	96.701	394	8	5	1	392	1	391	0.0	714
196063	g2062.t1	86.628	344	46	0	48	391	43	386	0.0	574
MAT3	g2057.t1	80.571	1225	200	17	1	1210	1	1202	0.0	1743
522918	g2080.t1	94.595	296	16	0	41	336	40	335	0.0	553
294752	g2059.t1	69.149	846	187	14	1	809	1	809	0.0	822
THI10	g2065.t1	93.004	243	17	0	36	278	1	243	1.98e-158	445
MT0829	g2075.t1	87.636	275	30	2	96	366	1	275	1.95e-130	379
Cre06.g255150	g2061.t1	46.759	216	87	7	2	191	10	223	4.05e-28	107
FBX9	g2077.t1	83.278	299	32	1	1	299	45	325	3.93e-160	453
CGLD28	g2064.t1	84.375	224	33	1	1	224	1	222	6.24e-100	293
SAD1	g2103.t1	77.574	272	60	1	317	588	1	271	1.99e-143	454
522919	g2081.t1	70.000	470	114	8	61	516	63	519	7.48e-105	327
